Distance,B
1,0.804924
2,0.805144
3,0.805362
4,0.805580
5,0.805796
6,0.806012
7,0.806227
8,0.806441
9,0.806654
10,0.806867
11,0.807078
12,0.807289
13,0.807499
14,0.807708
15,0.807916
16,0.808123
17,0.808330
18,0.808536
19,0.808741
20,0.808945
21,0.809148
22,0.809351
23,0.809553
24,0.809754
25,0.809954
26,0.810154
27,0.810353
28,0.810551
29,0.810748
30,0.810945
31,0.811141
32,0.811336
33,0.811530
34,0.811724
35,0.811917
36,0.812109
37,0.812301
38,0.812492
39,0.812682
40,0.812872
41,0.813061
42,0.813249
43,0.813436
44,0.813623
45,0.813810
46,0.813995
47,0.814180
48,0.814364
49,0.814548
50,0.814731
51,0.814913
52,0.815095
53,0.815276
54,0.815457
55,0.815637
56,0.815816
57,0.815995
58,0.816173
59,0.816350
60,0.816527
61,0.816703
62,0.816879
63,0.817054
64,0.817229
65,0.817403
66,0.817576
67,0.817749
68,0.817921
69,0.818093
70,0.818264
71,0.818434
72,0.818604
73,0.818774
74,0.818943
75,0.819111
76,0.819279
77,0.819446
78,0.819613
79,0.819779
80,0.819945
81,0.820110
82,0.820275
83,0.820439
84,0.820603
85,0.820766
86,0.820929
87,0.821091
88,0.821252
89,0.821414
90,0.821574
91,0.821734
92,0.821894
93,0.822053
94,0.822212
95,0.822370
96,0.822528
97,0.822685
98,0.822842
99,0.822998
100,0.823154
101,0.823310
102,0.823465
103,0.823619
104,0.823773
105,0.823927
106,0.824080
107,0.824233
108,0.824385
109,0.824537
110,0.824688
111,0.824839
112,0.824990
113,0.825140
114,0.825289
115,0.825438
116,0.825587
117,0.825736
118,0.825884
119,0.826031
120,0.826178
121,0.826325
122,0.826471
123,0.826617
124,0.826763
125,0.826908
126,0.827052
127,0.827197
128,0.827340
129,0.827484
130,0.827627
131,0.827770
132,0.827912
133,0.828054
134,0.828195
135,0.828337
136,0.828477
137,0.828618
138,0.828758
139,0.828897
140,0.829037
141,0.829176
142,0.829314
143,0.829452
144,0.829590
145,0.829727
146,0.829864
147,0.830001
148,0.830138
149,0.830274
150,0.830409
151,0.830544
152,0.830679
153,0.830814
154,0.830948
155,0.831082
156,0.831216
157,0.831349
158,0.831482
159,0.831614
160,0.831746
161,0.831878
162,0.832010
163,0.832141
164,0.832272
165,0.832403
166,0.832533
167,0.832663
168,0.832792
169,0.832921
170,0.833050
171,0.833179
172,0.833307
173,0.833435
174,0.833563
175,0.833690
176,0.833817
177,0.833944
178,0.834070
179,0.834196
180,0.834322
181,0.834448
182,0.834573
183,0.834698
184,0.834822
185,0.834947
186,0.835071
187,0.835195
188,0.835318
189,0.835441
190,0.835564
191,0.835686
192,0.835809
193,0.835931
194,0.836052
195,0.836174
196,0.836295
197,0.836416
198,0.836536
199,0.836656
200,0.836776
201,0.836896
202,0.837016
203,0.837135
204,0.837254
205,0.837372
206,0.837491
207,0.837609
208,0.837727
209,0.837844
210,0.837961
211,0.838078
212,0.838195
213,0.838312
214,0.838428
215,0.838544
216,0.838660
217,0.838775
218,0.838890
219,0.839005
220,0.839120
221,0.839234
222,0.839348
223,0.839462
224,0.839576
225,0.839690
226,0.839803
227,0.839916
228,0.840028
229,0.840141
230,0.840253
231,0.840365
232,0.840477
233,0.840588
234,0.840699
235,0.840810
236,0.840921
237,0.841032
238,0.841142
239,0.841252
240,0.841362
241,0.841471
242,0.841581
243,0.841690
244,0.841799
245,0.841908
246,0.842016
247,0.842124
248,0.842232
249,0.842340
250,0.842447
251,0.842555
252,0.842662
253,0.842769
254,0.842875
255,0.842982
256,0.843088
257,0.843194
258,0.843300
259,0.843405
260,0.843511
261,0.843616
262,0.843721
263,0.843826
264,0.843930
265,0.844034
266,0.844138
267,0.844242
268,0.844346
269,0.844449
270,0.844553
271,0.844656
272,0.844759
273,0.844861
274,0.844964
275,0.845066
276,0.845168
277,0.845270
278,0.845371
279,0.845473
280,0.845574
281,0.845675
282,0.845776
283,0.845876
284,0.845977
285,0.846077
286,0.846177
287,0.846277
288,0.846377
289,0.846476
290,0.846576
291,0.846675
292,0.846773
293,0.846872
294,0.846971
295,0.847069
296,0.847167
297,0.847265
298,0.847363
299,0.847461
300,0.847558
301,0.847655
302,0.847752
303,0.847849
304,0.847946
305,0.848042
306,0.848139
307,0.848235
308,0.848331
309,0.848426
310,0.848522
311,0.848617
312,0.848713
313,0.848808
314,0.848903
315,0.848997
316,0.849092
317,0.849186
318,0.849281
319,0.849375
320,0.849468
321,0.849562
322,0.849656
323,0.849749
324,0.849842
325,0.849935
326,0.850028
327,0.850121
328,0.850213
329,0.850306
330,0.850398
331,0.850490
332,0.850582
333,0.850673
334,0.850765
335,0.850856
336,0.850947
337,0.851038
338,0.851129
339,0.851220
340,0.851311
341,0.851401
342,0.851491
343,0.851581
344,0.851671
345,0.851761
346,0.851851
347,0.851940
348,0.852029
349,0.852118
350,0.852207
351,0.852296
352,0.852385
353,0.852474
354,0.852562
355,0.852650
356,0.852738
357,0.852826
358,0.852914
359,0.853002
360,0.853089
361,0.853176
362,0.853264
363,0.853351
364,0.853437
365,0.853524
366,0.853611
367,0.853697
368,0.853784
369,0.853870
370,0.853956
371,0.854042
372,0.854127
373,0.854213
374,0.854298
375,0.854384
376,0.854469
377,0.854554
378,0.854639
379,0.854723
380,0.854808
381,0.854892
382,0.854977
383,0.855061
384,0.855145
385,0.855229
386,0.855313
387,0.855396
388,0.855480
389,0.855563
390,0.855646
391,0.855730
392,0.855812
393,0.855895
394,0.855978
395,0.856061
396,0.856143
397,0.856225
398,0.856307
399,0.856389
400,0.856471
401,0.856553
402,0.856635
403,0.856716
404,0.856798
405,0.856879
406,0.856960
407,0.857041
408,0.857122
409,0.857203
410,0.857283
411,0.857364
412,0.857444
413,0.857524
414,0.857604
415,0.857684
416,0.857764
417,0.857844
418,0.857924
419,0.858003
420,0.858082
421,0.858162
422,0.858241
423,0.858320
424,0.858399
425,0.858477
426,0.858556
427,0.858634
428,0.858713
429,0.858791
430,0.858869
431,0.858947
432,0.859025
433,0.859103
434,0.859181
435,0.859258
436,0.859336
437,0.859413
438,0.859490
439,0.859567
440,0.859644
441,0.859721
442,0.859798
443,0.859874
444,0.859951
445,0.860027
446,0.860104
447,0.860180
448,0.860256
449,0.860332
450,0.860408
451,0.860483
452,0.860559
453,0.860634
454,0.860710
455,0.860785
456,0.860860
457,0.860935
458,0.861010
459,0.861085
460,0.861160
461,0.861234
462,0.861309
463,0.861383
464,0.861458
465,0.861532
466,0.861606
467,0.861680
468,0.861754
469,0.861827
470,0.861901
471,0.861975
472,0.862048
473,0.862121
474,0.862195
475,0.862268
476,0.862341
477,0.862414
478,0.862486
479,0.862559
480,0.862632
481,0.862704
482,0.862777
483,0.862849
484,0.862921
485,0.862993
486,0.863065
487,0.863137
488,0.863209
489,0.863280
490,0.863352
491,0.863423
492,0.863495
493,0.863566
494,0.863637
495,0.863708
496,0.863779
497,0.863850
498,0.863921
499,0.863992
500,0.864062
501,0.864133
502,0.864203
503,0.864273
504,0.864344
505,0.864414
506,0.864484
507,0.864554
508,0.864623
509,0.864693
510,0.864763
511,0.864832
512,0.864902
513,0.864971
514,0.865040
515,0.865109
516,0.865178
517,0.865247
518,0.865316
519,0.865385
520,0.865454
521,0.865522
522,0.865591
523,0.865659
524,0.865727
525,0.865796
526,0.865864
527,0.865932
528,0.866000
529,0.866068
530,0.866135
531,0.866203
532,0.866271
533,0.866338
534,0.866405
535,0.866473
536,0.866540
537,0.866607
538,0.866674
539,0.866741
540,0.866808
541,0.866875
542,0.866941
543,0.867008
544,0.867075
545,0.867141
546,0.867207
547,0.867274
548,0.867340
549,0.867406
550,0.867472
551,0.867538
552,0.867603
553,0.867669
554,0.867735
555,0.867800
556,0.867866
557,0.867931
558,0.867997
559,0.868062
560,0.868127
561,0.868192
562,0.868257
563,0.868322
564,0.868387
565,0.868451
566,0.868516
567,0.868581
568,0.868645
569,0.868710
570,0.868774
571,0.868838
572,0.868902
573,0.868966
574,0.869030
575,0.869094
576,0.869158
577,0.869222
578,0.869285
579,0.869349
580,0.869413
581,0.869476
582,0.869539
583,0.869603
584,0.869666
585,0.869729
586,0.869792
587,0.869855
588,0.869918
589,0.869981
590,0.870043
591,0.870106
592,0.870168
593,0.870231
594,0.870293
595,0.870356
596,0.870418
597,0.870480
598,0.870542
599,0.870604
600,0.870666
601,0.870728
602,0.870790
603,0.870852
604,0.870913
605,0.870975
606,0.871036
607,0.871098
608,0.871159
609,0.871220
610,0.871282
611,0.871343
612,0.871404
613,0.871465
614,0.871526
615,0.871586
616,0.871647
617,0.871708
618,0.871768
619,0.871829
620,0.871889
621,0.871950
622,0.872010
623,0.872070
624,0.872131
625,0.872191
626,0.872251
627,0.872311
628,0.872371
629,0.872430
630,0.872490
631,0.872550
632,0.872609
633,0.872669
634,0.872728
635,0.872788
636,0.872847
637,0.872906
638,0.872965
639,0.873025
640,0.873084
641,0.873143
642,0.873201
643,0.873260
644,0.873319
645,0.873378
646,0.873436
647,0.873495
648,0.873553
649,0.873612
650,0.873670
651,0.873729
652,0.873787
653,0.873845
654,0.873903
655,0.873961
656,0.874019
657,0.874077
658,0.874135
659,0.874192
660,0.874250
661,0.874308
662,0.874365
663,0.874423
664,0.874480
665,0.874537
666,0.874595
667,0.874652
668,0.874709
669,0.874766
670,0.874823
671,0.874880
672,0.874937
673,0.874994
674,0.875051
675,0.875107
676,0.875164
677,0.875221
678,0.875277
679,0.875334
680,0.875390
681,0.875446
682,0.875503
683,0.875559
684,0.875615
685,0.875671
686,0.875727
687,0.875783
688,0.875839
689,0.875895
690,0.875950
691,0.876006
692,0.876062
693,0.876117
694,0.876173
695,0.876228
696,0.876283
697,0.876339
698,0.876394
699,0.876449
700,0.876504
701,0.876559
702,0.876614
703,0.876669
704,0.876724
705,0.876779
706,0.876834
707,0.876889
708,0.876943
709,0.876998
710,0.877052
711,0.877107
712,0.877161
713,0.877216
714,0.877270
715,0.877324
716,0.877378
717,0.877432
718,0.877487
719,0.877541
720,0.877594
721,0.877648
722,0.877702
723,0.877756
724,0.877810
725,0.877863
726,0.877917
727,0.877970
728,0.878024
729,0.878077
730,0.878131
731,0.878184
732,0.878237
733,0.878290
734,0.878344
735,0.878397
736,0.878450
737,0.878503
738,0.878556
739,0.878608
740,0.878661
741,0.878714
742,0.878767
743,0.878819
744,0.878872
745,0.878924
746,0.878977
747,0.879029
748,0.879082
749,0.879134
750,0.879186
751,0.879238
752,0.879290
753,0.879342
754,0.879394
755,0.879446
756,0.879498
757,0.879550
758,0.879602
759,0.879654
760,0.879705
761,0.879757
762,0.879809
763,0.879860
764,0.879912
765,0.879963
766,0.880014
767,0.880066
768,0.880117
769,0.880168
770,0.880219
771,0.880270
772,0.880322
773,0.880373
774,0.880423
775,0.880474
776,0.880525
777,0.880576
778,0.880627
779,0.880677
780,0.880728
781,0.880779
782,0.880829
783,0.880880
784,0.880930
785,0.880980
786,0.881031
787,0.881081
788,0.881131
789,0.881181
790,0.881232
791,0.881282
792,0.881332
793,0.881382
794,0.881432
795,0.881481
796,0.881531
797,0.881581
798,0.881631
799,0.881680
800,0.881730
801,0.881780
802,0.881829
803,0.881879
804,0.881928
805,0.881977
806,0.882027
807,0.882076
808,0.882125
809,0.882174
810,0.882223
811,0.882272
812,0.882321
813,0.882370
814,0.882419
815,0.882468
816,0.882517
817,0.882566
818,0.882615
819,0.882663
820,0.882712
821,0.882760
822,0.882809
823,0.882857
824,0.882906
825,0.882954
826,0.883003
827,0.883051
828,0.883099
829,0.883147
830,0.883196
831,0.883244
832,0.883292
833,0.883340
834,0.883388
835,0.883436
836,0.883483
837,0.883531
838,0.883579
839,0.883627
840,0.883675
841,0.883722
842,0.883770
843,0.883817
844,0.883865
845,0.883912
846,0.883960
847,0.884007
848,0.884054
849,0.884102
850,0.884149
851,0.884196
852,0.884243
853,0.884290
854,0.884337
855,0.884384
856,0.884431
857,0.884478
858,0.884525
859,0.884572
860,0.884619
861,0.884665
862,0.884712
863,0.884759
864,0.884805
865,0.884852
866,0.884898
867,0.884945
868,0.884991
869,0.885038
870,0.885084
871,0.885130
872,0.885176
873,0.885223
874,0.885269
875,0.885315
876,0.885361
877,0.885407
878,0.885453
879,0.885499
880,0.885545
881,0.885591
882,0.885636
883,0.885682
884,0.885728
885,0.885774
886,0.885819
887,0.885865
888,0.885910
889,0.885956
890,0.886001
891,0.886047
892,0.886092
893,0.886137
894,0.886183
895,0.886228
896,0.886273
897,0.886318
898,0.886363
899,0.886409
900,0.886454
901,0.886499
902,0.886544
903,0.886588
904,0.886633
905,0.886678
906,0.886723
907,0.886768
908,0.886812
909,0.886857
910,0.886902
911,0.886946
912,0.886991
913,0.887035
914,0.887080
915,0.887124
916,0.887169
917,0.887213
918,0.887257
919,0.887302
920,0.887346
921,0.887390
922,0.887434
923,0.887478
924,0.887522
925,0.887566
926,0.887610
927,0.887654
928,0.887698
929,0.887742
930,0.887786
931,0.887830
932,0.887873
933,0.887917
934,0.887961
935,0.888004
936,0.888048
937,0.888091
938,0.888135
939,0.888178
940,0.888222
941,0.888265
942,0.888308
943,0.888352
944,0.888395
945,0.888438
946,0.888481
947,0.888525
948,0.888568
949,0.888611
950,0.888654
951,0.888697
952,0.888740
953,0.888783
954,0.888826
955,0.888868
956,0.888911
957,0.888954
958,0.888997
959,0.889039
960,0.889082
961,0.889125
962,0.889167
963,0.889210
964,0.889252
965,0.889295
966,0.889337
967,0.889380
968,0.889422
969,0.889464
970,0.889507
971,0.889549
972,0.889591
973,0.889633
974,0.889675
975,0.889717
976,0.889759
