= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 9.37 seconds. = = =
         7150684 function calls (7025948 primitive calls) in 9.813 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    327/1    0.001    0.000    9.814    9.814 {built-in method builtins.exec}
        1    0.001    0.001    9.814    9.814 Bvalcalc.py:1(<module>)
        1    0.001    0.001    9.367    9.367 Bvalcalc.py:15(main)
        1    6.126    6.126    8.678    8.678 plotBasic.py:7(plotBasic)
     2798    0.005    0.000    1.489    0.001 __init__.py:1462(inner)
     2798    0.035    0.000    1.484    0.001 _axes.py:1048(hlines)
        1    0.000    0.000    0.801    0.801 pyplot.py:1129(savefig)
        1    0.000    0.000    0.801    0.801 figure.py:3234(savefig)
        1    0.000    0.000    0.801    0.801 backend_bases.py:2052(print_figure)
        1    0.000    0.000    0.687    0.687 genomeBcalc.py:9(genomeBcalc)
      862    0.674    0.001    0.674    0.001 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.669    0.669 _base.py:648(__exit__)
        1    0.000    0.000    0.669    0.669 thread.py:216(shutdown)
       12    0.000    0.000    0.669    0.056 threading.py:1064(join)
       12    0.000    0.000    0.669    0.056 threading.py:1102(_wait_for_tstate_lock)
        2    0.000    0.000    0.600    0.300 backend_bases.py:2043(<lambda>)
        2    0.000    0.000    0.600    0.300 backend_agg.py:450(print_png)
        2    0.001    0.000    0.600    0.300 backend_agg.py:440(_print_pil)
       37    0.001    0.000    0.566    0.015 __init__.py:1(<module>)
        2    0.000    0.000    0.479    0.240 artist.py:93(draw_wrapper)
   5854/2    0.006    0.000    0.479    0.240 artist.py:54(draw_wrapper)
        2    0.000    0.000    0.479    0.240 figure.py:3134(draw)
      4/2    0.003    0.001    0.476    0.238 image.py:114(_draw_list_compositing_images)
        2    0.000    0.000    0.476    0.238 _base.py:3005(draw)
   393/12    0.001    0.000    0.462    0.039 <frozen importlib._bootstrap>:1022(_find_and_load)
   390/12    0.001    0.000    0.462    0.039 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   374/13    0.001    0.000    0.461    0.035 <frozen importlib._bootstrap>:664(_load_unlocked)
   319/12    0.000    0.000    0.461    0.038 <frozen importlib._bootstrap_external>:877(exec_module)
   547/13    0.000    0.000    0.458    0.035 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   446/24    0.001    0.000    0.425    0.018 {built-in method builtins.__import__}
   499/86    0.001    0.000    0.405    0.005 <frozen importlib._bootstrap>:1053(_handle_fromlist)
     2798    0.005    0.000    0.361    0.000 collections.py:1398(__init__)
     5596    0.032    0.000    0.359    0.000 collections.py:346(draw)
