= Calculating relative diversity (B) for all neutral sites across the genome. = = =
Using recombination (crossover) map from ../bin/200kb.map
Plot saved to genome_plot.png
= B value calculated in 1.25 seconds. = = =
         1366344 function calls (1345329 primitive calls) in 1.689 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    327/1    0.001    0.000    1.689    1.689 {built-in method builtins.exec}
        1    0.001    0.001    1.689    1.689 Bvalcalc.py:1(<module>)
        1    0.001    0.001    1.246    1.246 Bvalcalc.py:15(main)
        1    0.000    0.000    0.693    0.693 genomeBcalc.py:9(genomeBcalc)
      862    0.679    0.001    0.679    0.001 {method 'acquire' of '_thread.lock' objects}
        1    0.000    0.000    0.674    0.674 _base.py:648(__exit__)
        1    0.000    0.000    0.674    0.674 thread.py:216(shutdown)
       12    0.000    0.000    0.674    0.056 threading.py:1064(join)
       12    0.000    0.000    0.674    0.056 threading.py:1102(_wait_for_tstate_lock)
       37    0.001    0.000    0.577    0.016 __init__.py:1(<module>)
        1    0.014    0.014    0.551    0.551 plotBasic.py:8(plotBasic)
   393/12    0.002    0.000    0.454    0.038 <frozen importlib._bootstrap>:1022(_find_and_load)
   390/12    0.001    0.000    0.454    0.038 <frozen importlib._bootstrap>:987(_find_and_load_unlocked)
   374/13    0.001    0.000    0.453    0.035 <frozen importlib._bootstrap>:664(_load_unlocked)
   319/12    0.000    0.000    0.452    0.038 <frozen importlib._bootstrap_external>:877(exec_module)
   548/14    0.000    0.000    0.451    0.032 <frozen importlib._bootstrap>:233(_call_with_frames_removed)
   446/24    0.000    0.000    0.406    0.017 {built-in method builtins.__import__}
   499/86    0.001    0.000    0.380    0.004 <frozen importlib._bootstrap>:1053(_handle_fromlist)
        1    0.000    0.000    0.364    0.364 pyplot.py:1129(savefig)
        1    0.000    0.000    0.364    0.364 figure.py:3234(savefig)
        1    0.000    0.000    0.364    0.364 backend_bases.py:2052(print_figure)
        2    0.000    0.000    0.347    0.174 backend_bases.py:2043(<lambda>)
        2    0.000    0.000    0.347    0.174 backend_agg.py:450(print_png)
        2    0.000    0.000    0.347    0.174 backend_agg.py:440(_print_pil)
        1    0.000    0.000    0.319    0.319 plotBasic.py:1(<module>)
        1    0.000    0.000    0.314    0.314 image.py:1531(imsave)
        1    0.000    0.000    0.314    0.314 Image.py:2376(save)
        1    0.000    0.000    0.309    0.309 PngImagePlugin.py:1233(_save)
        1    0.000    0.000    0.309    0.309 ImageFile.py:517(_save)
