Distance,B
1,0.647903
2,0.648256
3,0.648608
4,0.648959
5,0.649308
6,0.649656
7,0.650002
8,0.650347
9,0.650691
10,0.651034
11,0.651375
12,0.651715
13,0.652054
14,0.652392
15,0.652728
16,0.653063
17,0.653397
18,0.653730
19,0.654061
20,0.654392
21,0.654721
22,0.655049
23,0.655376
24,0.655701
25,0.656026
26,0.656349
27,0.656671
28,0.656992
29,0.657312
30,0.657631
31,0.657949
32,0.658266
33,0.658581
34,0.658896
35,0.659209
36,0.659522
37,0.659833
38,0.660143
39,0.660452
40,0.660761
41,0.661068
42,0.661374
43,0.661679
44,0.661983
45,0.662286
46,0.662588
47,0.662889
48,0.663189
49,0.663489
50,0.663787
51,0.664084
52,0.664380
53,0.664676
54,0.664970
55,0.665263
56,0.665556
57,0.665847
58,0.666138
59,0.666428
60,0.666717
61,0.667004
62,0.667291
63,0.667578
64,0.667863
65,0.668147
66,0.668431
67,0.668713
68,0.668995
69,0.669276
70,0.669556
71,0.669835
72,0.670113
73,0.670391
74,0.670667
75,0.670943
76,0.671218
77,0.671492
78,0.671766
79,0.672038
80,0.672310
81,0.672581
82,0.672851
83,0.673121
84,0.673389
85,0.673657
86,0.673924
87,0.674190
88,0.674456
89,0.674720
90,0.674984
91,0.675248
92,0.675510
93,0.675772
94,0.676033
95,0.676293
96,0.676552
97,0.676811
98,0.677069
99,0.677326
100,0.677583
101,0.677839
102,0.678094
103,0.678349
104,0.678602
105,0.678855
106,0.679108
107,0.679359
108,0.679610
109,0.679861
110,0.680110
111,0.680359
112,0.680608
113,0.680855
114,0.681102
115,0.681349
116,0.681594
117,0.681839
118,0.682084
119,0.682327
120,0.682570
121,0.682813
122,0.683055
123,0.683296
124,0.683536
125,0.683776
126,0.684015
127,0.684254
128,0.684492
129,0.684730
130,0.684966
131,0.685203
132,0.685438
133,0.685673
134,0.685908
135,0.686141
136,0.686375
137,0.686607
138,0.686839
139,0.687071
140,0.687302
141,0.687532
142,0.687762
143,0.687991
144,0.688220
145,0.688448
146,0.688675
147,0.688902
148,0.689128
149,0.689354
150,0.689579
151,0.689804
152,0.690028
153,0.690252
154,0.690475
155,0.690697
156,0.690920
157,0.691141
158,0.691362
159,0.691582
160,0.691802
161,0.692022
162,0.692240
163,0.692459
164,0.692677
165,0.692894
166,0.693111
167,0.693327
168,0.693543
169,0.693758
170,0.693973
171,0.694187
172,0.694401
173,0.694614
174,0.694827
175,0.695039
176,0.695251
177,0.695463
178,0.695673
179,0.695884
180,0.696094
181,0.696303
182,0.696512
183,0.696721
184,0.696929
185,0.697136
186,0.697343
187,0.697550
188,0.697756
189,0.697962
190,0.698167
191,0.698372
192,0.698576
193,0.698780
194,0.698983
195,0.699186
196,0.699389
197,0.699591
198,0.699793
199,0.699994
200,0.700195
201,0.700395
202,0.700595
203,0.700795
204,0.700994
205,0.701192
206,0.701391
207,0.701588
208,0.701786
209,0.701983
210,0.702179
211,0.702375
212,0.702571
213,0.702766
214,0.702961
215,0.703156
216,0.703350
217,0.703544
218,0.703737
219,0.703930
220,0.704122
221,0.704314
222,0.704506
223,0.704697
224,0.704888
225,0.705078
226,0.705269
227,0.705458
228,0.705648
229,0.705837
230,0.706025
231,0.706213
232,0.706401
233,0.706588
234,0.706775
235,0.706962
236,0.707148
237,0.707334
238,0.707520
239,0.707705
240,0.707890
241,0.708074
242,0.708258
243,0.708442
244,0.708625
245,0.708808
246,0.708991
247,0.709173
248,0.709355
249,0.709537
250,0.709718
251,0.709899
252,0.710079
253,0.710259
254,0.710439
255,0.710618
256,0.710798
257,0.710976
258,0.711155
259,0.711333
260,0.711510
261,0.711688
262,0.711865
263,0.712042
264,0.712218
265,0.712394
266,0.712570
267,0.712745
268,0.712920
269,0.713095
270,0.713269
271,0.713443
272,0.713617
273,0.713790
274,0.713964
275,0.714136
276,0.714309
277,0.714481
278,0.714653
279,0.714824
280,0.714995
281,0.715166
282,0.715337
283,0.715507
284,0.715677
285,0.715847
286,0.716016
287,0.716185
288,0.716354
289,0.716522
290,0.716690
291,0.716858
292,0.717025
293,0.717193
294,0.717359
295,0.717526
296,0.717692
297,0.717858
298,0.718024
299,0.718189
300,0.718354
301,0.718519
302,0.718684
303,0.718848
304,0.719012
305,0.719176
306,0.719339
307,0.719502
308,0.719665
309,0.719827
310,0.719990
311,0.720152
312,0.720313
313,0.720475
314,0.720636
315,0.720797
316,0.720957
317,0.721117
318,0.721277
319,0.721437
320,0.721597
321,0.721756
322,0.721915
323,0.722073
324,0.722232
325,0.722390
326,0.722548
327,0.722705
328,0.722862
329,0.723019
330,0.723176
331,0.723333
332,0.723489
333,0.723645
334,0.723801
335,0.723956
336,0.724111
337,0.724266
338,0.724421
339,0.724575
340,0.724730
341,0.724884
342,0.725037
343,0.725191
344,0.725344
345,0.725497
346,0.725649
347,0.725802
348,0.725954
349,0.726106
350,0.726258
351,0.726409
352,0.726560
353,0.726711
354,0.726862
355,0.727012
356,0.727162
357,0.727312
358,0.727462
359,0.727612
360,0.727761
361,0.727910
362,0.728059
363,0.728207
364,0.728356
365,0.728504
366,0.728651
367,0.728799
368,0.728946
369,0.729093
370,0.729240
371,0.729387
372,0.729533
373,0.729680
374,0.729826
375,0.729971
376,0.730117
377,0.730262
378,0.730407
379,0.730552
380,0.730697
381,0.730841
382,0.730985
383,0.731129
384,0.731273
385,0.731417
386,0.731560
387,0.731703
388,0.731846
389,0.731988
390,0.732131
391,0.732273
392,0.732415
393,0.732557
394,0.732698
395,0.732840
396,0.732981
397,0.733122
398,0.733262
399,0.733403
400,0.733543
401,0.733683
402,0.733823
403,0.733963
404,0.734102
405,0.734241
406,0.734380
407,0.734519
408,0.734658
409,0.734796
410,0.734934
411,0.735072
412,0.735210
413,0.735348
414,0.735485
415,0.735622
416,0.735759
417,0.735896
418,0.736033
419,0.736169
420,0.736305
421,0.736441
422,0.736577
423,0.736713
424,0.736848
425,0.736983
426,0.737118
427,0.737253
428,0.737388
429,0.737522
430,0.737656
431,0.737790
432,0.737924
433,0.738058
434,0.738191
435,0.738325
436,0.738458
437,0.738591
438,0.738723
439,0.738856
440,0.738988
441,0.739120
442,0.739252
443,0.739384
444,0.739516
445,0.739647
446,0.739778
447,0.739909
448,0.740040
449,0.740171
450,0.740301
451,0.740432
452,0.740562
453,0.740692
454,0.740821
455,0.740951
456,0.741080
457,0.741210
458,0.741339
459,0.741468
460,0.741596
461,0.741725
462,0.741853
463,0.741981
464,0.742109
465,0.742237
466,0.742365
467,0.742492
468,0.742619
469,0.742746
470,0.742873
471,0.743000
472,0.743127
473,0.743253
474,0.743379
475,0.743506
476,0.743631
477,0.743757
478,0.743883
479,0.744008
480,0.744133
481,0.744258
482,0.744383
483,0.744508
484,0.744633
485,0.744757
486,0.744881
487,0.745005
488,0.745129
489,0.745253
490,0.745377
491,0.745500
492,0.745623
493,0.745746
494,0.745869
495,0.745992
496,0.746115
497,0.746237
498,0.746359
499,0.746482
500,0.746603
501,0.746725
502,0.746847
503,0.746968
504,0.747090
505,0.747211
506,0.747332
507,0.747453
508,0.747574
509,0.747694
510,0.747814
511,0.747935
512,0.748055
513,0.748175
514,0.748295
515,0.748414
516,0.748534
517,0.748653
518,0.748772
519,0.748891
520,0.749010
521,0.749129
522,0.749247
523,0.749366
524,0.749484
525,0.749602
526,0.749720
527,0.749838
528,0.749955
529,0.750073
530,0.750190
531,0.750308
532,0.750425
533,0.750542
534,0.750658
535,0.750775
536,0.750891
537,0.751008
538,0.751124
539,0.751240
540,0.751356
541,0.751472
542,0.751587
543,0.751703
544,0.751818
545,0.751933
546,0.752048
547,0.752163
548,0.752278
549,0.752393
550,0.752507
551,0.752622
552,0.752736
553,0.752850
554,0.752964
555,0.753078
556,0.753191
557,0.753305
558,0.753418
559,0.753531
560,0.753644
561,0.753757
562,0.753870
563,0.753983
564,0.754096
565,0.754208
566,0.754320
567,0.754432
568,0.754544
569,0.754656
570,0.754768
571,0.754880
572,0.754991
573,0.755102
574,0.755214
575,0.755325
576,0.755436
577,0.755547
578,0.755657
579,0.755768
580,0.755878
581,0.755989
582,0.756099
583,0.756209
584,0.756319
585,0.756428
586,0.756538
587,0.756648
588,0.756757
589,0.756866
590,0.756975
591,0.757084
592,0.757193
593,0.757302
594,0.757411
595,0.757519
596,0.757627
597,0.757736
598,0.757844
599,0.757952
600,0.758060
601,0.758167
602,0.758275
603,0.758383
