Position,Conserved,B
1,N,0.931514
2,N,0.931511
3,N,0.931509
4,N,0.931506
5,N,0.931504
6,N,0.931501
7,N,0.931499
8,N,0.931496
9,N,0.931494
10,N,0.931491
11,N,0.931489
12,N,0.931486
13,N,0.931484
14,N,0.931482
15,N,0.931479
16,N,0.931477
17,N,0.931474
18,N,0.931472
19,N,0.931469
20,N,0.931467
21,N,0.931464
22,N,0.931462
23,N,0.931459
24,N,0.931457
25,N,0.931454
26,N,0.931452
27,N,0.931449
28,N,0.931447
29,N,0.931445
30,N,0.931442
31,N,0.931440
32,N,0.931437
33,N,0.931435
34,N,0.931432
35,N,0.931430
36,N,0.931427
37,N,0.931425
38,N,0.931422
39,N,0.931420
40,N,0.931417
41,N,0.931415
42,N,0.931412
43,N,0.931410
44,N,0.931407
45,N,0.931405
46,N,0.931402
47,N,0.931400
48,N,0.931398
49,N,0.931395
50,N,0.931393
51,N,0.931390
52,N,0.931388
53,N,0.931385
54,N,0.931383
55,N,0.931380
56,N,0.931378
57,N,0.931375
58,N,0.931373
59,N,0.931370
60,N,0.931368
61,N,0.931365
62,N,0.931363
63,N,0.931360
64,N,0.931358
65,N,0.931355
66,N,0.931353
67,N,0.931350
68,N,0.931348
69,N,0.931345
70,N,0.931343
71,N,0.931340
72,N,0.931338
73,N,0.931335
74,N,0.931333
75,N,0.931330
76,N,0.931328
77,N,0.931326
78,N,0.931323
79,N,0.931321
80,N,0.931318
81,N,0.931316
82,N,0.931313
83,N,0.931311
84,N,0.931308
85,N,0.931306
86,N,0.931303
87,N,0.931301
88,N,0.931298
89,N,0.931296
90,N,0.931293
91,N,0.931291
92,N,0.931288
93,N,0.931286
94,N,0.931283
95,N,0.931281
96,N,0.931278
97,N,0.931276
98,N,0.931273
99,N,0.931271
100,N,0.931268
101,N,0.931266
102,N,0.931263
103,N,0.931261
104,N,0.931258
105,N,0.931256
106,N,0.931253
107,N,0.931251
108,N,0.931248
109,N,0.931246
110,N,0.931243
111,N,0.931241
112,N,0.931238
113,N,0.931236
114,N,0.931233
115,N,0.931231
116,N,0.931228
117,N,0.931226
118,N,0.931223
119,N,0.931221
120,N,0.931218
121,N,0.931216
122,N,0.931213
123,N,0.931211
124,N,0.931208
125,N,0.931206
126,N,0.931203
127,N,0.931201
128,N,0.931198
129,N,0.931196
130,N,0.931193
131,N,0.931191
132,N,0.931188
133,N,0.931186
134,N,0.931183
135,N,0.931181
136,N,0.931178
137,N,0.931175
138,N,0.931173
139,N,0.931170
140,N,0.931168
141,N,0.931165
142,N,0.931163
143,N,0.931160
144,N,0.931158
145,N,0.931155
146,N,0.931153
147,N,0.931150
148,N,0.931148
149,N,0.931145
150,N,0.931143
151,N,0.931140
152,N,0.931138
153,N,0.931135
154,N,0.931133
155,N,0.931130
156,N,0.931128
157,N,0.931125
158,N,0.931123
159,N,0.931120
160,N,0.931118
161,N,0.931115
162,N,0.931113
163,N,0.931110
164,N,0.931107
165,N,0.931105
166,N,0.931102
167,N,0.931100
168,N,0.931097
169,N,0.931095
170,N,0.931092
171,N,0.931090
172,N,0.931087
173,N,0.931085
174,N,0.931082
175,N,0.931080
176,N,0.931077
177,N,0.931075
178,N,0.931072
179,N,0.931070
180,N,0.931067
181,N,0.931065
182,N,0.931062
183,N,0.931059
184,N,0.931057
185,N,0.931054
186,N,0.931052
187,N,0.931049
188,N,0.931047
189,N,0.931044
190,N,0.931042
191,N,0.931039
192,N,0.931037
193,N,0.931034
194,N,0.931032
195,N,0.931029
196,N,0.931027
197,N,0.931024
198,N,0.931021
199,N,0.931019
200,N,0.931016
201,N,0.931014
202,N,0.931011
203,N,0.931009
204,N,0.931006
205,N,0.931004
206,N,0.931001
207,N,0.930999
208,N,0.930996
209,N,0.930994
210,N,0.930991
211,N,0.930988
212,N,0.930986
213,N,0.930983
214,N,0.930981
215,N,0.930978
216,N,0.930976
217,N,0.930973
218,N,0.930971
219,N,0.930968
220,N,0.930966
221,N,0.930963
222,N,0.930960
223,N,0.930958
224,N,0.930955
225,N,0.930953
226,N,0.930950
227,N,0.930948
228,N,0.930945
229,N,0.930943
230,N,0.930940
231,N,0.930937
232,N,0.930935
233,N,0.930932
